#layer	0近接	3近接

1	-491.177	-491.182
2	-491.242	-491.191
3	-491.238	-491.299
4	-491.292	-491.338
5	-491.32		-491.345
6	-491.325	-491.354
7	-491.3418	-491.344
8	-491.338	-491.335
9	-491.327	-491.323
10	-491.3398	-491.328
